sector,category,id,name,unit,factor,uncertainty,source,year,region,date_accessed,description,source_link
Transport,Air Transport,air-cargo-below-500km,Air Cargo below 500km,kg-CO2e/tkm,3.46,70,ADEME,2018,FR,2021/08/20,"Emission Intensity of Air Cargo With contrails 1. More than 100 tonnes, <500 kms. Continental France. 2020 Factor. Updated May 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the GT Transport Base Carbone & Ecocalculateur DGAC.",https://www.bilans-ges.ademe.fr/en/accueil
Transport,Air Transport,air-cargo-between-500-and-1000km,Air Cargo between 500 and 1000km,kg-CO2e/tkm,2.57,70,ADEME,2018,FR,2021/08/20,"Emission Intensity of Air Cargo With contrails 2. More than 100 tonnes, 500 - 1000 kms. Continental France. 2020 Factor. Updated May 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the GT Transport Base Carbone & Ecocalculateur DGAC.",https://www.bilans-ges.ademe.fr/en/accueil
Transport,Air Transport,air-cargo-between-1000-and-3500km,Air Cargo between 1000 and 3500km,kg-CO2e/tkm,1.74,70,ADEME,2018,FR,2021/08/20,"Emission Intensity of Air Cargo With contrails 3. More than 100 tonnes, 1000 - 3500 kms. Continental France. 2020 Factor. Updated May 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the GT Transport Base Carbone & Ecocalculateur DGAC.",https://www.bilans-ges.ademe.fr/en/accueil
Transport,Air Transport,air-cargo-above-3500km,Air Cargo above 3500km,kg-CO2e/tkm,1.08,70,ADEME,2018,FR,2021/08/20,"Emission Intensity of Air Cargo With contrails 4. More than 100 tonnes, >3500 kms. Continental France. 2020 Factor. Updated May 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the GT Transport Base Carbone & Ecocalculateur DGAC.",https://www.bilans-ges.ademe.fr/en/accueil
Transport,Air Transport,air-cargo-between-10-and-25t-below-500km,Air Cargo between 10 and 25t below 500km,kg-CO2e/tkm,3.1,70,ADEME,2018,FR,2021/08/20,Emission Intensity of Air Cargo With contrails 1. 10 to 25 tonnes <500 kms. Continental France. 2020 Factor. Updated May 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the GT Transport Base Carbone & Ecocalculateur DGAC.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Air Transport,air-cargo-between-26-and-100t-below-500km,Air Cargo between 26 and 100t below 500km,kg-CO2e/tkm,5.43,70,ADEME,2018,FR,2021/08/20,"Emission Intensity of Air Cargo With contrails 1. 26 to 100 tonnes, <500 kms. Continental France. 2020 Factor. Updated May 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the GT Transport Base Carbone & Ecocalculateur DGAC.",https://www.bilans-ges.ademe.fr/en/accueil
Transport,Air Transport,air-cargo-between-10-and-25t-between-500-and-1000km,Air Cargo between 10 and 25t between 500km and 1000km,kg-CO2e/tkm,3.47,70,ADEME,2018,FR,2021/08/20,Emission Intensity of Air Cargo With contrails 2. 10 to 25 tonnes 500 - 1000 kms. Continental France. 2020 Factor. Updated May 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the GT Transport Base Carbone & Ecocalculateur DGAC.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Air Transport,air-cargo-between-26-and-100t-between-500-and-1000km,Air Cargo between 26 and 100t between 500 and 1000km,kg-CO2e/tkm,3.44,70,ADEME,2018,FR,2021/08/20,"Emission Intensity of Air Cargo With contrails 2. 26 to 100 tonnes, 500 - 1000 kms. Continental France. 2020 Factor. Updated May 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the GT Transport Base Carbone & Ecocalculateur DGAC.",https://www.bilans-ges.ademe.fr/en/accueil
Transport,Air Travel,short-haul-flight,Short-haul flight,kg-CO2e/pmile,0.206,,EPA,2021,US,2021/08/23,Emission intensity of short-haul flight. Short Haul (< 300 miles). Published by the EPA. Updated April 2021. Accessed on the 23d of August 2021.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
Transport,Air Transport,aircraft,Aircraft,kg-CO2e/tmile,1.16,,EPA,2021,US,2021/08/23,Emission Intensity of Aircraft. Aircraft: updates due to a methodology change. Published by the EPA. Updated April 2021.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
Transport,Road Transport,freight-goods-truck,Freight Goods Truck,kg-CO2e/tkm,0.135,,MfE,2020,NZ,2021/09/10,Emission intensity of freighting goods truck. Generic Value. Road freight for freighting goods. Pre 2010 Fleet. New Zealand. Published by the Ministry for the Environment of New Zealand in 2020.,https://environment.govt.nz/publications/measuring-emissions-detailed-guide-2020/
Transport,Road Travel,car-short-distance,Average Car Short Distance,kg-CO2e/pkm,0.134,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Car. Short Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,average-bus,Average Bus,kg-CO2e/pkm,0.10839126,,MfE,2020,NZ,2021/09/10,Emission Intensity of Average Bus. Provided by the Ministry for the Environment. New Zealand. Published by the Ministry for the Environment of New Zealand in 2020.,https://environment.govt.nz/publications/measuring-emissions-detailed-guide-2020/
Transport,Vehicle,car,Average Car,kg-CO2e/km,0.178,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Car. Average Motorisation Level. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Vehicle,car-battery-ev,Average Car Battery EV,kg-CO2e/km,0.05031,,BEIS,2021,GB,2021/07/23,Emission Intensity of Electricity for Average Car Battery Electric Vehicle. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Vehicle,car-hybrid-ev,Average Car Hybrid EV,kg-CO2e/km,0.02383,,BEIS,2021,GB,2021/07/23,Emission Intensity of Electricity for of Average Car Hybrid Electric Vehicle. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Road Travel,car-long-distance,Average Car Long Distance,kg-CO2e/pkm,0.075,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Car. Average Motorisation Level. Long Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,car-mixed-distance,Average Car Mixed Distance,kg-CO2e/pkm,0.111,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Car. Average Motorisation Level. Mixed Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Vehicle,cng-car,Average CNG Car,kg-CO2e/km,0.17624,,BEIS,2021,GB,2021/07/23,Emission Intensity of Average CNG Car. A compressed version of the same natural gas you receive in the home. 2.0-litre engine +. When compressed can be used as an alternative vehicle fuel. Unknown Engine Size. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Vehicle,cng-car,Average CNG Car,kg-CO2e/km,0.196,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average CNG Car. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,cng-car-long-distance,Average CNG Car Long Distance,kg-CO2e/pkm,0.089,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average CNG Car. Mixed Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,cng-car-mixed-distance,Average CNG Car Mixed Distance,kg-CO2e/pkm,0.122,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average CNG Car. Long Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,cng-car-short-distance,Average CNG Car Short Distance,kg-CO2e/pkm,0.14,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average CNG Car. Short Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Vehicle,diesel-car,Average Diesel Car,kg-CO2e/km,0.186,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Diesel Car. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Vehicle,diesel-car,Average Diesel Car,kg-CO2e/km,0.16843,,BEIS,2021,GB,2021/07/23,Emission Intensity of Average Diesel Car. Unknown Engine Size. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Road Travel,diesel-car-long-distance,Average Diesel Car Long Distance,kg-CO2e/pkm,0.079,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Petrol Car. Long Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,diesel-car-mixed-distance,Average Diesel Car Mixed Distance,kg-CO2e/pkm,0.116,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Petrol Car. Mixed Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,diesel-car-short-distance,Average Diesel Car Short Distance,kg-CO2e/pkm,0.14,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Petrol Car. Short Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Vehicle,e85-car,Average E85 Car,kg-CO2e/km,0.121,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average E85 Car. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,e85-car-long-distance,Average E85 Car Long Distance,kg-CO2e/pkm,0.0508,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average E85 Car. Long Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,e85-car-mixed-distance,Average E85 Car Mixed Distance,kg-CO2e/pkm,0.0754,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average E85 Car. Mixed Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,e85-car-short-distance,Average E85 Car Short Distance,kg-CO2e/pkm,0.0901,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average E85 Car. Short Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Vehicle,hybrid-car,Average Hybrid Car,kg-CO2e/km,0.11952,,BEIS,2021,GB,2021/07/23,"Emission Intensity of Average Hybrid Car. A vehicle with two power sources, typically petrol and electric. Unknown Engine Size. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.",https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Road Travel,local-bus,Local Bus,kg-CO2e/pkm,0.10227,,BEIS,2021,GB,2021/07/23,Emission Intensity of Average Local Bus. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Vehicle,lpg-car,Average LPG Car,kg-CO2e/km,0.192,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average LPG Car. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Vehicle,lpg-car,Average LPG Car,kg-CO2e/km,0.19828,,BEIS,2021,GB,2021/07/23,Emission Intensity of Average LPG Car. Unknown Engine Size. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Road Travel,lpg-car-long-distance,Average LPG Car Long Distance,kg-CO2e/pkm,0.087,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average LPG Car. Mixed Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,lpg-car-mixed-distance,Average LPG Car Mixed Distance,kg-CO2e/pkm,0.12,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average LPG Car. Long Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
